Period,Austria,Belgium,Bulgaria,Cyprus,Czech Republic,EU (changing composition),Germany,Denmark,Estonia,Spain,Finland,France,Greece,Croatia,Hungary,Ireland,Italy,Lithuania,Luxembourg,Latvia,Malta,Netherlands,Poland,Portugal,Romania,Sweden,Slovenia,Slovakia
2022Oct,125.61,122.24,154.13,118.03,142.4,130.30,134.9,122.9,149.19,128.15,120.02,122.63,120.47,129.51,180.05,102.5,120.9,158.54,124.19,151.44,133.54,126.42,146.4,125.92,146.32,132.07,130.34,145.29
2022Sep,124.17,120.05,150.49,114.95,138.0,127.79,133.2,122.3,146.83,125.30,118.31,120.41,118.80,128.09,171.96,101.5,118.6,153.58,121.96,148.26,130.75,124.96,142.4,123.31,142.76,130.25,127.29,142.00
2022Aug,123.21,119.35,147.59,113.75,137.7,126.29,131.0,123.0,144.36,124.71,115.83,118.94,117.34,128.41,166.13,100.8,117.3,148.99,121.38,145.32,129.11,125.67,140.1,122.46,140.35,128.76,125.72,139.10
2022Jul,121.93,118.99,145.82,111.76,137.0,124.72,129.1,122.9,141.15,124.13,115.66,116.88,115.89,126.12,160.53,100.2,116.2,148.31,120.32,144.01,128.67,124.09,137.7,121.40,137.85,128.03,124.78,137.04
2022Jun,120.89,117.53,145.61,110.22,135.0,123.40,126.5,119.2,138.70,123.75,113.95,115.70,116.99,123.67,153.53,98.7,116.0,147.21,119.52,141.58,126.57,122.28,137.1,120.48,136.76,124.04,124.49,135.14
2022May,118.87,115.48,145.09,112.74,132.0,121.90,125.2,116.0,135.91,121.61,112.54,114.75,114.44,121.62,149.28,96.5,114.7,143.82,118.15,137.45,126.35,119.97,136.4,119.17,136.31,122.01,122.56,132.13
2022Apr,117.56,113.96,142.20,112.87,127.5,119.99,122.8,112.8,132.72,120.14,109.69,113.61,112.41,119.24,144.10,95.8,113.2,140.14,117.46,134.92,124.43,118.21,134.9,116.59,133.89,119.53,120.80,127.68
2022Mar,115.35,112.86,136.44,111.96,123.0,117.09,119.0,110.8,129.74,116.19,108.66,111.87,109.71,116.43,139.07,95.0,111.8,132.57,116.11,130.29,122.64,116.18,130.0,112.64,130.25,118.31,117.46,124.66
2022Feb,113.63,111.12,132.33,110.22,122.2,115.60,118.0,110.8,127.97,114.81,107.85,110.82,108.95,115.51,136.18,94.2,110.8,129.44,114.67,127.01,121.69,115.65,127.4,109.81,126.82,115.55,116.78,122.50
2022Jan,110.73,109.65,128.20,105.10,120.4,114.48,116.8,108.6,123.35,113.84,106.19,110.41,106.76,114.87,133.09,93.3,109.8,125.97,113.89,122.71,120.75,113.89,128.5,108.96,124.10,113.75,114.45,120.55
2021Dec,110.79,108.92,125.38,102.57,115.4,112.87,115.1,105.5,118.76,113.08,104.01,109.74,105.57,111.66,128.83,93.3,108.1,122.86,112.82,120.39,118.78,112.63,125.2,107.55,122.59,112.78,112.80,116.73
2021Nov,110.09,107.99,123.71,103.36,114.6,111.85,114.1,107.1,119.02,111.66,104.30,109.09,105.93,109.97,126.97,92.9,107.3,120.41,112.68,118.63,118.33,111.66,122.5,106.75,121.49,112.06,110.51,115.85
2021Oct,109.82,107.96,121.92,104.85,113.3,111.12,113.5,106.2,116.68,111.01,103.70,108.65,104.98,108.44,125.93,92.8,106.4,119.52,112.34,116.85,116.88,111.07,121.0,106.16,120.50,112.29,111.07,115.25
2021Sep,109.06,107.84,120.20,105.33,113.7,110.74,113.5,106.1,117.92,109.57,103.32,108.86,105.30,108.05,125.01,92.4,106.1,118.56,112.17,116.15,116.81,110.92,120.5,105.89,119.10,111.85,111.20,115.18
2021Aug,108.91,108.18,118.92,108.31,114.8,110.79,113.4,106.1,118.54,109.63,102.96,109.75,103.88,108.05,124.83,92.7,106.0,114.80,112.27,115.41,116.02,111.20,120.3,106.16,117.84,112.62,110.44,114.98
2021Jul,108.74,108.25,117.65,102.80,114.5,110.55,113.5,107.2,117.72,109.34,102.90,108.98,102.91,106.99,124.69,93.0,105.6,114.57,111.81,115.76,115.10,110.56,120.8,106.57,118.07,112.44,110.51,115.11
2021Jun,108.61,108.11,117.90,101.85,114.1,110.60,113.1,105.5,116.44,109.56,102.75,108.87,104.03,105.99,124.78,92.5,106.2,114.80,111.80,115.93,114.84,110.05,121.4,106.42,118.62,111.25,110.99,114.63
2021May,109.10,107.88,118.84,101.91,114.4,110.81,113.4,105.4,116.27,109.57,103.20,109.70,101.95,105.88,125.04,92.4,106.6,115.70,111.93,116.36,114.42,109.84,121.5,106.08,118.42,111.73,110.71,113.92
2021Apr,108.59,108.07,118.31,100.80,115.1,110.45,113.8,105.3,115.95,109.10,103.52,109.04,101.35,105.79,124.11,92.6,106.3,115.08,111.50,114.91,114.16,109.10,120.8,105.74,116.96,111.77,110.61,112.13
2021Mar,109.05,107.79,117.09,101.75,114.1,109.72,112.4,104.2,114.27,108.78,103.37,108.38,101.44,105.11,122.69,92.2,105.6,112.86,111.72,113.54,112.80,109.23,119.6,105.03,116.46,111.35,109.85,111.55
2021Feb,108.96,106.77,117.05,101.31,114.2,109.58,112.4,105.0,114.20,108.74,103.22,108.31,101.65,104.91,122.25,91.4,105.5,112.20,110.91,113.57,112.28,110.10,118.8,104.90,116.00,110.81,109.89,111.78
2021Jan,105.54,107.00,115.97,100.30,114.2,109.28,111.6,104.4,113.22,108.68,102.90,108.57,101.35,104.98,120.90,91.3,105.8,112.03,110.80,112.78,112.96,109.07,118.0,105.06,115.47,111.26,109.38,111.53
2020Dec,109.09,107.45,115.65,101.47,110.8,108.25,108.8,103.8,112.30,107.75,102.31,108.20,101.21,103.33,119.59,92.0,105.1,110.22,110.36,112.23,113.18,109.78,115.5,104.54,114.69,110.69,108.49,110.33
2020Nov,108.44,107.65,115.81,104.45,112.2,108.67,109.2,104.9,113.30,108.14,102.72,108.65,102.21,104.11,120.45,92.0,105.8,111.02,111.04,112.32,113.76,110.35,115.5,105.32,114.35,110.83,109.22,110.85
2020Oct,108.71,108.38,115.60,103.12,112.2,108.59,108.8,104.8,113.88,109.16,102.68,107.92,101.99,104.60,120.40,92.0,105.2,111.69,110.90,111.84,113.45,110.78,115.6,105.65,114.52,110.83,110.54,110.88
2020Sep,108.40,108.64,115.53,103.89,111.6,108.24,108.3,104.5,114.72,107.68,102.74,107.69,101.78,104.88,120.50,92.0,104.9,112.78,111.14,111.96,112.81,110.96,115.6,105.20,114.41,110.77,111.24,110.49
2020Aug,108.39,109.02,115.08,101.77,113.0,108.57,108.6,105.5,116.45,107.59,102.47,108.24,100.57,105.45,121.27,92.6,105.1,111.36,110.84,113.01,112.63,111.09,116.1,105.52,115.36,112.14,111.80,111.02
2020Jul,108.69,109.47,115.60,99.61,113.6,108.88,108.8,106.6,116.65,107.49,102.92,107.99,100.81,105.09,121.88,93.0,105.4,111.93,110.83,114.29,111.88,111.52,117.5,105.94,116.07,112.60,111.66,112.17
2020Jun,108.65,109.41,116.93,101.78,115.3,110.17,111.8,105.8,116.27,108.39,103.12,109.18,103.01,105.94,121.91,92.8,106.8,113.61,111.60,113.68,112.50,111.75,119.5,106.59,116.86,111.49,111.52,113.05
2020May,107.28,109.57,117.81,104.64,115.9,110.58,111.9,105.4,115.62,108.73,102.72,110.24,102.42,106.29,122.93,93.4,107.5,114.47,111.53,115.30,112.70,111.46,119.7,105.50,117.59,112.69,113.05,114.82
2020Apr,108.56,109.46,117.55,101.75,115.2,110.31,111.8,105.1,115.56,108.74,102.64,109.63,102.41,106.01,122.06,93.3,106.9,115.12,111.78,114.32,113.22,111.43,119.4,106.58,117.25,112.18,111.00,113.37
2020Mar,107.85,108.55,116.88,103.24,114.4,109.02,110.7,105.3,113.75,107.23,102.91,107.34,101.63,105.62,120.15,93.0,105.6,113.06,110.25,114.13,111.95,110.70,118.9,104.25,115.48,111.33,110.53,112.61
2020Feb,107.43,106.90,116.58,104.72,113.5,108.65,110.9,104.9,115.02,107.08,103.37,107.39,102.24,105.22,118.91,93.2,105.3,113.12,109.75,114.03,112.33,109.77,118.0,104.01,113.50,110.55,110.44,112.41
2020Jan,106.76,106.25,116.06,104.64,113.4,108.10,109.5,104.1,113.08,106.82,102.53,107.47,101.99,105.58,116.97,93.3,105.2,112.49,109.31,112.86,112.82,108.48,117.0,104.03,112.68,109.08,109.62,112.07
2019Dec,106.04,105.75,113.35,101.12,110.8,107.26,108.4,103.6,112.36,106.54,102.12,107.01,100.45,103.91,114.54,93.4,104.2,110.39,108.36,111.01,111.79,109.13,114.9,102.99,111.42,109.61,107.78,109.67
