Data Source in SDW: https://sdw.ecb.europa.eu/browse.do?node=9691211
,ICP.M.AT.N.011100.4.ANR,ICP.M.AT.N.011200.4.ANR,ICP.M.AT.N.011400.4.ANR,ICP.M.AT.N.011500.4.ANR,ICP.M.AT.N.011700.4.ANR,ICP.M.AT.N.011800.4.ANR,ICP.M.BE.N.011100.4.ANR,ICP.M.BE.N.011200.4.ANR,ICP.M.BE.N.011400.4.ANR,ICP.M.BE.N.011500.4.ANR,ICP.M.BE.N.011700.4.ANR,ICP.M.BE.N.011800.4.ANR,ICP.M.BG.N.011100.4.ANR,ICP.M.BG.N.011200.4.ANR,ICP.M.BG.N.011400.4.ANR,ICP.M.BG.N.011500.4.ANR,ICP.M.BG.N.011700.4.ANR,ICP.M.BG.N.011800.4.ANR,ICP.M.CY.N.011100.4.ANR,ICP.M.CY.N.011200.4.ANR,ICP.M.CY.N.011400.4.ANR,ICP.M.CY.N.011500.4.ANR,ICP.M.CY.N.011700.4.ANR,ICP.M.CY.N.011800.4.ANR,ICP.M.CZ.N.011100.4.ANR,ICP.M.CZ.N.011200.4.ANR,ICP.M.CZ.N.011400.4.ANR,ICP.M.CZ.N.011500.4.ANR,ICP.M.CZ.N.011700.4.ANR,ICP.M.CZ.N.011800.4.ANR,ICP.M.D0.N.011100.4.ANR,ICP.M.D0.N.011200.4.ANR,ICP.M.D0.N.011400.4.ANR,ICP.M.D0.N.011500.4.ANR,ICP.M.D0.N.011700.4.ANR,ICP.M.D0.N.011800.4.ANR,ICP.M.DE.N.011100.4.ANR,ICP.M.DE.N.011200.4.ANR,ICP.M.DE.N.011400.4.ANR,ICP.M.DE.N.011500.4.ANR,ICP.M.DE.N.011700.4.ANR,ICP.M.DE.N.011800.4.ANR,ICP.M.DK.N.011100.4.ANR,ICP.M.DK.N.011200.4.ANR,ICP.M.DK.N.011400.4.ANR,ICP.M.DK.N.011500.4.ANR,ICP.M.DK.N.011700.4.ANR,ICP.M.DK.N.011800.4.ANR,ICP.M.EE.N.011100.4.ANR,ICP.M.EE.N.011200.4.ANR
,"Austria, HICP - Bread and cereals","Austria, HICP - Meat","Austria, HICP - Milk, cheese and eggs","Austria, HICP - Oils and fats","Austria, HICP - Vegetables","Austria, HICP - Sugar, jam, honey, chocolate and confectionery","Belgium, HICP - Bread and cereals","Belgium, HICP - Meat","Belgium, HICP - Milk, cheese and eggs","Belgium, HICP - Oils and fats","Belgium, HICP - Vegetables","Belgium, HICP - Sugar, jam, honey, chocolate and confectionery","Bulgaria, HICP - Bread and cereals","Bulgaria, HICP - Meat","Bulgaria, HICP - Milk, cheese and eggs","Bulgaria, HICP - Oils and fats","Bulgaria, HICP - Vegetables","Bulgaria, HICP - Sugar, jam, honey, chocolate and confectionery","Cyprus, HICP - Bread and cereals","Cyprus, HICP - Meat","Cyprus, HICP - Milk, cheese and eggs","Cyprus, HICP - Oils and fats","Cyprus, HICP - Vegetables","Cyprus, HICP - Sugar, jam, honey, chocolate and confectionery","Czech Republic, HICP - Bread and cereals","Czech Republic, HICP - Meat","Czech Republic, HICP - Milk, cheese and eggs","Czech Republic, HICP - Oils and fats","Czech Republic, HICP - Vegetables","Czech Republic, HICP - Sugar, jam, honey, chocolate and confectionery","EU (changing composition), HICP - Bread and cereals","EU (changing composition), HICP - Meat","EU (changing composition), HICP - Milk, cheese and eggs","EU (changing composition), HICP - Oils and fats","EU (changing composition), HICP - Vegetables","EU (changing composition), HICP - Sugar, jam, honey, chocolate and confectionery","Germany, HICP - Bread and cereals","Germany, HICP - Meat","Germany, HICP - Milk, cheese and eggs","Germany, HICP - Oils and fats","Germany, HICP - Vegetables","Germany, HICP - Sugar, jam, honey, chocolate and confectionery","Denmark, HICP - Bread and cereals","Denmark, HICP - Meat","Denmark, HICP - Milk, cheese and eggs","Denmark, HICP - Oils and fats","Denmark, HICP - Vegetables","Denmark, HICP - Sugar, jam, honey, chocolate and confectionery","Estonia, HICP - Bread and cereals","Estonia, HICP - Meat"
Collection:,Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A)
Period\Unit:,[Percentage change ],[Percentage change ],[Percentage change ],[Percentage change ],[Percentage change ],[Percentage change ],[Percentage change ],[Percentage change ],[Percentage change ],[Percentage change ],[Percentage change ],[Percentage change ],[Percentage change ],[Percentage change ],[Percentage change ],[Percentage change ],[Percentage change ],[Percentage change ],[Percentage change ],[Percentage change ],[Percentage change ],[Percentage change ],[Percentage change ],[Percentage change ],[Percentage change ],[Percentage change ],[Percentage change ],[Percentage change ],[Percentage change ],[Percentage change ],[Percentage change ],[Percentage change ],[Percentage change ],[Percentage change ],[Percentage change ],[Percentage change ],[Percentage change ],[Percentage change ],[Percentage change ],[Percentage change ],[Percentage change ],[Percentage change ],[Percentage change ],[Percentage change ],[Percentage change ],[Percentage change ],[Percentage change ],[Percentage change ],[Percentage change ],[Percentage change ]
2022Oct,14.4,15.5,18.9,29.7,14.8,8.3,14.9,12.3,16.7,25.4,13.4,11.0,26.9,25.2,37.7,36.8,18.2,29.2,14.2,15.6,12.5,27.7,18.9,9.6,29.1,26.7,29.1,49.7,24.0,29.7,18.8,16.4,23.8,32.5,20.2,13.8,19.6,19.4,28.6,49.4,22.6,10.7,16.5,18.0,25.3,37.8,11.0,11.2,27.8,27.8
2022Sep,13.3,15.3,20.3,29.8,11.0,8.6,14.2,10.7,15.3,24.9,7.5,8.9,27.6,25.5,34.3,42.2,16.6,28.9,14.1,15.3,11.2,27.1,-0.2,6.4,25.7,23.6,26.0,48.4,11.9,17.8,17.6,15.4,21.7,32.1,13.7,11.7,18.4,19.5,28.8,48.6,14.3,8.9,14.7,18.7,24.6,37.0,10.6,9.8,27.3,24.6
2022Aug,12.8,14.2,19.6,30.0,12.0,5.5,12.8,10.1,12.9,21.5,6.4,7.7,27.8,23.0,31.8,44.5,15.3,26.0,13.6,13.3,7.5,25.6,-15.5,7.5,24.5,21.6,24.1,49.3,7.0,16.0,16.6,14.3,19.7,31.5,10.7,10.1,16.9,18.6,26.5,44.4,9.8,7.2,15.1,18.1,25.5,46.9,12.7,8.1,25.2,21.1
2022Jul,11.2,14.0,17.4,25.1,12.5,3.8,11.7,9.6,13.8,21.2,6.8,7.6,28.8,20.6,29.3,44.2,21.0,24.1,13.8,12.0,8.2,32.3,6.6,7.4,25.4,21.6,22.4,53.1,7.7,15.0,15.3,13.5,17.3,31.6,10.1,7.7,14.9,18.3,23.8,44.4,7.7,4.1,14.3,18.0,24.5,49.3,10.8,6.2,22.4,21.2
2022Jun,11.2,13.2,16.0,25.6,12.0,1.7,10.6,8.4,11.4,20.5,6.9,5.7,35.4,19.8,27.6,41.4,17.5,21.3,11.7,12.1,5.8,21.9,5.7,6.4,23.8,20.2,20.8,42.2,11.3,17.2,13.6,12.7,13.9,30.5,9.7,6.4,12.5,18.9,15.1,43.4,8.0,3.8,12.4,17.4,19.7,34.0,9.0,7.0,18.5,19.7
2022May,8.7,11.3,9.4,21.4,12.4,0.6,9.7,6.5,8.6,16.8,5.7,4.2,30.7,18.3,25.3,41.1,25.7,17.1,9.9,12.6,4.4,15.3,40.6,5.1,20.5,17.0,18.6,32.8,7.7,11.8,11.9,11.4,11.6,27.8,8.8,5.5,10.7,16.6,13.0,38.6,7.4,3.8,10.9,12.0,16.0,27.5,7.6,4.4,16.4,14.8
2022Apr,8.2,10.7,6.9,18.2,10.1,1.3,8.4,4.6,6.1,12.6,4.1,4.4,23.8,15.9,21.2,43.6,32.4,13.3,9.5,11.4,3.0,10.5,44.2,4.0,16.2,10.8,13.3,25.6,4.1,8.8,10.0,9.1,8.9,23.0,10.7,3.9,8.8,11.8,9.3,27.0,9.0,0.6,10.1,8.7,14.1,2.2,4.0,4.3,14.1,9.2
