Period,Austria,Belgium,Bulgaria,Cyprus,Czech Republic,EU (changing composition),Germany,Denmark,Estonia,Spain,Finland,France,Greece,Croatia,Hungary,Ireland,Italy,Lithuania,Luxembourg,Latvia,Malta,Netherlands,Poland,Portugal,Romania,Sweden,Slovenia,Slovakia
2022Oct,130.72,121.85,152.40,112.24,143.5,130.05,142.0,125.2,142.96,122.80,127.89,123.05,121.17,124.89,158.06,104.6,118.7,145.64,129.74,146.30,128.51,137.21,153.9,131.78,137.91,132.25,139.40,151.39
2022Sep,130.21,119.43,150.91,111.41,141.1,128.68,141.2,124.5,139.93,121.68,126.99,121.41,120.28,125.10,153.15,103.7,117.5,142.30,128.92,145.25,127.47,136.24,152.2,130.69,136.38,132.02,138.60,148.80
2022Aug,129.28,119.46,147.85,109.68,141.2,127.63,139.9,125.3,136.92,121.00,121.29,120.85,119.40,125.92,149.77,103.2,116.8,139.79,128.48,141.17,126.59,136.99,148.4,130.32,134.94,132.43,137.80,144.41
2022Jul,128.28,118.66,145.16,108.42,140.9,126.46,139.4,125.7,135.19,120.19,120.88,118.92,118.05,124.43,147.98,102.4,116.0,138.98,127.73,141.58,126.54,135.14,146.8,128.41,133.07,133.09,137.47,141.99
2022Jun,127.91,116.58,144.45,107.84,138.6,125.24,138.7,123.2,133.73,118.88,120.62,117.13,116.68,120.44,144.03,100.4,115.5,137.22,127.42,138.28,125.56,134.68,145.8,127.44,132.00,131.08,136.58,139.88
2022May,125.80,114.42,143.33,107.60,134.6,123.49,136.6,117.8,127.16,117.62,115.88,115.47,115.75,119.55,140.98,97.8,114.4,134.18,125.56,135.30,123.77,132.01,145.8,126.51,130.49,125.59,134.07,135.37
2022Apr,123.21,112.44,139.99,106.51,128.3,120.64,130.8,114.0,120.64,116.26,108.58,113.32,114.60,116.22,134.40,96.4,113.1,127.72,123.86,127.87,118.61,127.42,143.3,123.24,129.00,119.81,131.01,129.46
2022Mar,117.07,110.79,130.69,99.28,118.2,115.83,122.1,109.1,119.15,112.23,106.78,111.77,106.59,112.55,125.40,94.8,111.3,121.59,121.07,121.00,113.69,122.08,132.0,115.42,124.89,116.63,123.41,122.55
2022Feb,114.56,109.79,124.28,97.28,117.2,114.01,120.6,109.0,116.80,111.22,106.69,111.04,104.95,109.84,123.07,93.8,110.2,119.13,118.60,118.42,111.94,120.20,124.7,111.64,122.39,114.88,121.98,120.86
2022Jan,112.72,108.97,122.70,97.37,115.8,113.50,120.4,106.7,115.36,111.31,104.86,110.38,104.83,109.70,120.09,93.1,109.1,117.67,118.10,116.06,111.85,118.35,127.6,111.30,121.15,114.92,119.33,120.16
2021Dec,113.58,109.20,122.35,96.50,112.8,112.86,119.7,106.6,112.61,111.67,104.17,110.19,105.20,107.77,117.54,93.0,108.1,117.07,116.50,115.48,110.93,118.05,125.6,110.15,120.18,114.23,118.46,118.89
2021Nov,113.77,108.11,121.76,96.71,113.9,112.16,119.3,107.0,113.66,110.33,104.48,109.76,104.80,106.99,116.80,91.7,107.7,115.48,116.07,114.97,111.13,116.39,123.7,109.08,119.51,112.76,118.19,118.32
2021Oct,113.13,108.53,121.72,97.13,113.3,111.76,118.9,106.1,111.87,109.13,104.74,109.48,103.40,105.75,117.47,92.5,107.5,114.67,116.15,116.83,110.46,117.01,122.7,107.92,119.07,112.94,119.06,118.66
2021Sep,112.92,107.93,120.22,96.63,114.2,111.50,118.2,104.9,112.33,108.66,104.12,109.33,102.43,104.91,117.82,92.1,107.3,114.68,115.57,118.47,110.18,116.82,123.8,107.37,118.45,113.27,121.37,118.99
2021Aug,113.17,108.49,120.20,96.81,116.1,111.68,118.0,106.1,113.04,108.45,103.88,109.63,102.05,105.26,117.35,91.7,107.3,114.95,115.52,119.51,110.15,117.13,124.9,109.32,117.89,114.81,120.59,118.57
2021Jul,112.56,108.27,120.33,96.82,115.9,111.44,117.8,106.5,111.57,108.40,103.63,109.34,101.21,105.11,117.62,92.2,106.8,114.12,115.46,117.89,109.59,116.35,125.2,109.12,117.59,113.55,120.32,118.18
2021Jun,112.96,107.53,120.58,96.24,115.3,111.13,116.7,104.9,111.75,108.41,103.63,109.32,101.65,104.13,117.20,91.4,106.8,113.77,114.87,117.82,109.41,115.97,124.5,109.62,117.20,114.19,120.76,117.60
2021May,112.98,107.46,121.11,95.54,115.0,110.87,117.2,105.2,110.73,108.32,103.38,108.81,101.68,103.30,116.47,91.1,106.7,113.10,114.82,116.00,108.97,115.85,122.9,109.13,116.93,113.75,119.43,116.19
2021Apr,111.26,107.48,120.74,95.57,115.8,110.57,117.0,104.9,110.46,108.26,103.51,108.75,100.27,103.98,116.09,92.1,106.5,113.28,114.05,114.44,108.05,115.36,121.4,108.51,116.55,112.40,118.30,115.62
2021Mar,112.52,107.44,119.24,95.21,115.6,110.07,116.1,102.9,109.01,107.82,104.31,108.56,100.27,103.54,114.00,91.6,106.3,112.30,114.62,113.34,108.42,115.72,119.9,106.99,115.82,112.41,118.89,115.20
2021Feb,111.30,106.89,119.71,95.65,115.1,109.77,115.8,104.8,111.69,107.55,103.66,108.63,100.69,103.09,113.84,90.2,106.1,112.41,113.73,113.21,108.39,115.84,118.1,106.46,115.57,112.04,118.67,115.09
2021Jan,107.35,107.17,120.23,95.00,117.0,109.73,115.5,104.4,111.06,107.66,103.22,108.26,101.38,103.33,114.22,91.3,106.3,112.44,113.25,112.80,109.67,115.15,118.3,106.80,115.47,113.50,118.16,115.23
2020Dec,112.24,108.02,120.38,94.46,115.0,109.35,113.6,104.5,112.44,107.81,103.39,108.37,100.59,102.64,113.71,92.7,105.8,112.43,113.83,115.65,109.62,115.81,116.4,106.44,115.14,113.51,117.60,115.12
2020Nov,110.56,107.35,120.73,95.17,114.8,109.45,113.8,105.4,113.10,107.54,103.45,108.30,100.71,103.14,114.63,92.5,106.0,112.45,113.65,114.86,109.08,117.19,117.4,106.89,115.07,111.59,119.76,115.78
2020Oct,112.23,108.03,120.74,96.62,116.8,109.54,113.8,104.8,113.74,107.70,104.37,107.99,100.39,103.78,115.70,92.7,105.7,113.22,113.75,114.40,108.82,117.42,118.1,107.08,114.92,110.98,120.35,115.58
2020Sep,111.93,107.51,121.29,97.22,117.2,109.67,113.6,103.9,113.62,107.70,103.76,108.18,101.04,104.00,115.67,92.2,106.0,113.44,113.89,114.23,108.42,117.95,119.2,106.92,114.70,111.34,120.89,116.27
2020Aug,111.78,107.69,120.93,96.76,117.4,109.80,114.0,104.5,114.09,107.71,104.09,108.43,100.63,105.23,115.70,92.8,106.1,113.59,113.69,115.14,108.99,117.49,119.0,107.37,114.62,112.93,120.90,115.84
2020Jul,112.27,107.85,122.13,98.60,117.5,109.86,114.1,106.2,113.83,107.29,104.33,108.08,100.80,103.99,115.99,92.8,106.0,113.50,113.86,117.05,108.67,117.94,120.2,108.18,114.55,113.07,120.37,116.23
2020Jun,112.02,107.39,123.00,98.26,118.4,110.28,116.0,106.0,113.73,107.07,103.80,108.69,100.73,104.57,117.01,92.8,106.3,114.49,113.66,115.66,108.77,117.87,120.7,108.31,114.41,112.33,119.98,117.55
2020May,109.14,107.89,124.33,98.35,119.0,110.37,115.6,106.7,113.49,107.36,103.34,108.75,100.23,105.84,118.29,93.3,106.6,115.14,113.69,118.35,108.72,117.59,120.7,108.27,114.15,113.27,121.40,119.65
2020Apr,112.38,107.90,124.70,98.84,118.2,110.43,115.2,106.1,112.97,107.74,102.22,108.26,100.63,105.74,118.37,93.4,106.6,115.53,114.43,116.55,108.31,117.68,123.0,109.31,113.70,112.35,121.63,117.13
2020Mar,110.78,107.43,124.88,100.47,118.2,110.00,114.5,107.4,109.69,106.93,103.53,107.92,101.11,106.60,116.16,93.2,106.3,114.94,113.38,117.29,107.76,117.70,123.6,107.36,112.93,110.75,121.72,117.36
2020Feb,111.33,106.42,124.85,99.26,117.1,109.18,113.6,105.3,110.84,106.48,102.56,107.67,101.08,106.21,114.99,93.3,105.5,114.36,112.25,116.66,107.67,115.75,121.2,106.70,112.00,108.59,120.52,116.74
2020Jan,109.95,105.87,124.32,98.40,116.7,108.55,111.6,104.7,109.91,105.94,101.11,107.64,101.37,106.28,113.13,93.0,105.3,114.05,112.23,115.73,106.91,112.84,121.5,106.37,111.45,108.30,119.07,115.62
2019Dec,108.29,105.67,121.60,96.90,114.7,107.80,110.5,103.8,110.04,105.96,101.74,107.41,101.39,105.22,111.57,93.0,104.5,112.41,110.27,113.70,106.99,113.34,119.4,105.03,110.38,108.32,114.84,112.95
