Period,Austria,Belgium,Bulgaria,Cyprus,Czech Republic,EU (changing composition),Germany,Denmark,Estonia,Spain,Finland,France,Greece,Croatia,Hungary,Ireland,Italy,Lithuania,Luxembourg,Latvia,Malta,Netherlands,Poland,Portugal,Romania,Sweden,Slovenia,Slovakia
2022Oct,149.90,154.00,193.69,139.41,194.0,157.53,191.4,163.0,166.00,139.32,132.30,148.63,132.55,143.05,190.48,124.5,130.1,204.95,139.08,186.34,135.95,163.21,178.3,148.39,185.44,167.37,145.18,179.00
2022Sep,148.28,151.45,196.21,141.14,189.0,155.71,190.8,165.2,167.60,138.37,132.67,146.24,130.96,144.61,186.12,123.3,128.8,197.88,138.45,183.46,134.46,160.75,173.5,144.63,183.41,167.44,144.51,179.41
2022Aug,147.70,148.74,197.11,138.93,187.1,154.66,188.6,178.9,162.40,138.64,126.83,144.41,128.99,158.27,179.82,122.2,128.5,191.90,136.27,175.71,133.35,162.64,170.6,146.46,180.97,163.70,141.93,176.88
2022Jul,140.92,147.21,197.49,138.07,182.6,153.11,187.1,183.1,158.56,141.41,125.69,140.88,128.10,156.54,175.06,120.2,128.4,190.43,132.27,176.17,133.35,158.45,165.9,150.19,176.41,160.93,137.72,172.26
2022Jun,140.41,144.79,196.29,131.64,171.5,150.02,184.7,161.5,154.33,142.75,122.93,137.14,124.79,151.47,169.22,118.0,127.0,186.55,128.41,169.23,130.44,150.62,161.9,154.96,170.21,148.47,136.14,165.83
2022May,137.33,139.87,191.02,123.36,162.0,145.66,176.4,146.7,150.36,144.63,120.51,132.02,123.34,149.40,160.83,114.7,125.2,179.41,127.73,158.56,124.85,143.89,156.4,155.37,160.87,142.77,130.22,155.50
2022Apr,133.53,135.01,186.98,117.20,150.9,138.67,160.1,119.5,147.94,142.95,117.59,124.66,119.05,143.04,154.54,111.9,120.6,165.09,121.79,159.73,118.69,137.53,151.0,154.13,153.42,133.44,123.86,140.81
2022Mar,127.49,134.58,178.88,115.58,147.3,130.72,145.9,132.3,140.88,123.71,114.95,121.31,117.69,133.02,150.61,110.0,112.3,160.17,120.03,149.98,115.60,136.32,145.4,136.20,146.70,135.58,114.93,136.32
2022Feb,126.16,134.34,156.30,111.84,143.2,127.01,144.4,132.2,139.85,118.48,114.45,118.87,114.63,134.34,147.08,109.4,109.9,153.44,118.48,147.85,113.52,134.15,143.0,119.17,139.07,125.75,112.01,135.42
2022Jan,120.21,129.01,153.64,109.41,143.7,125.90,143.0,132.4,135.79,117.83,110.67,117.71,112.50,138.58,149.76,108.8,109.0,151.55,116.67,142.36,111.41,131.41,144.6,115.16,136.49,129.43,110.08,132.23
2021Dec,120.43,125.13,147.27,108.39,137.4,122.11,137.6,104.4,122.74,114.04,109.83,116.95,112.80,127.73,141.73,106.9,106.5,146.07,115.53,142.41,110.02,124.33,140.4,112.13,134.65,123.93,109.02,124.38
2021Nov,119.07,125.26,145.30,107.48,136.2,121.15,134.4,122.6,121.86,112.70,109.34,116.60,112.58,129.91,139.35,105.4,106.6,143.70,116.46,140.63,108.96,121.90,136.4,112.62,133.24,127.61,106.08,123.72
2021Oct,115.56,122.82,141.55,109.16,129.6,118.90,128.1,118.3,120.43,112.43,109.03,116.20,113.54,126.59,138.03,103.4,106.2,139.55,114.57,132.51,108.05,120.82,129.3,113.35,130.84,128.97,106.59,118.48
2021Sep,114.25,121.30,138.02,111.04,127.4,117.89,128.4,120.6,121.10,111.73,108.49,115.98,111.71,124.85,136.12,103.7,106.0,136.46,115.73,129.86,109.38,121.89,123.8,112.78,128.58,128.81,106.03,113.24
2021Aug,113.59,122.43,136.39,110.64,125.3,117.58,130.6,121.8,119.52,111.84,108.08,116.17,102.84,126.12,133.60,103.0,107.1,136.88,115.38,128.51,109.07,121.79,121.9,109.49,126.43,128.80,104.45,114.99
2021Jul,112.61,121.48,136.96,104.34,119.3,116.37,129.6,122.6,120.81,109.98,108.22,116.24,100.77,124.83,132.28,102.7,105.8,133.26,114.16,129.58,109.81,120.60,120.4,112.16,123.98,128.60,103.75,113.04
2021Jun,111.77,120.13,138.81,107.99,120.6,114.96,128.8,120.5,115.59,104.19,107.62,116.55,99.95,114.10,129.57,102.8,105.4,132.39,113.30,127.90,109.20,120.60,119.3,108.68,122.06,122.89,103.56,112.63
2021May,113.08,119.72,135.39,106.98,122.0,113.96,127.3,115.1,116.85,99.97,107.66,115.89,100.17,112.34,128.75,102.3,105.2,131.95,113.38,127.90,109.66,121.31,118.2,108.27,119.25,126.53,102.06,111.00
2021Apr,112.99,119.87,130.19,106.04,120.1,112.78,126.1,116.9,118.16,96.33,107.29,116.25,97.67,112.13,127.95,103.5,104.8,129.28,113.24,124.96,109.81,121.04,117.1,107.17,117.88,122.47,100.88,108.44
2021Mar,112.54,119.06,125.05,107.07,117.0,111.05,124.3,111.1,113.65,93.67,107.34,116.22,98.22,109.29,127.21,104.1,101.8,127.48,112.97,123.39,109.57,120.37,116.1,103.05,116.90,123.49,101.20,108.15
2021Feb,111.78,118.51,121.19,105.52,115.0,110.27,121.4,111.8,116.92,92.51,106.50,116.06,98.14,109.25,125.75,102.8,102.1,129.45,113.29,124.01,109.96,121.14,115.5,103.03,116.15,120.87,100.97,106.73
2021Jan,110.06,120.15,119.78,103.03,114.4,110.02,122.4,115.9,114.76,91.72,107.60,116.19,98.79,107.90,121.15,103.5,101.8,129.33,112.23,121.11,110.50,119.81,115.8,99.29,114.93,124.81,101.72,106.09
2020Dec,113.03,118.26,118.38,100.45,110.1,108.27,119.0,103.2,109.91,91.67,107.26,116.10,98.17,105.04,117.80,102.5,98.9,125.46,112.25,122.22,109.67,120.46,115.7,97.03,112.79,121.80,100.89,104.98
2020Nov,112.35,120.23,116.26,102.06,110.6,108.74,120.0,115.1,112.19,91.17,107.12,116.06,97.37,107.61,117.87,103.8,99.8,126.09,112.03,121.70,110.19,120.77,117.6,96.10,111.30,123.73,101.14,103.59
2020Oct,113.29,120.19,114.67,102.50,111.9,108.74,119.0,115.9,113.51,90.76,107.53,116.21,96.00,105.32,116.14,103.4,100.8,128.10,112.12,119.31,109.83,121.27,116.9,97.45,110.65,124.12,102.57,105.88
2020Sep,113.56,119.45,110.27,103.19,111.9,108.71,120.3,117.3,117.15,90.44,107.72,116.22,96.94,105.56,114.77,103.9,100.7,127.87,112.68,121.25,110.07,121.42,117.0,96.43,110.38,122.67,101.48,105.03
2020Aug,113.32,121.36,108.30,104.15,110.9,109.21,121.2,117.9,117.36,90.99,107.43,116.57,95.60,107.58,115.39,103.1,102.3,128.50,113.60,121.50,108.89,121.62,116.6,97.27,110.38,122.24,102.84,105.36
2020Jul,114.49,120.73,109.89,104.82,108.6,109.59,120.9,125.1,113.96,91.33,107.64,116.53,96.62,105.19,115.71,103.9,102.7,125.95,113.37,120.47,110.50,124.62,116.8,99.79,110.34,124.97,101.05,105.16
2020Jun,114.27,119.96,110.02,104.24,107.9,110.15,122.1,123.1,117.12,92.11,107.62,116.36,97.27,107.28,113.92,103.7,104.2,127.07,113.35,120.11,112.26,122.11,117.7,104.61,110.10,120.95,100.18,105.30
2020May,113.00,120.44,109.24,103.76,109.5,110.37,122.6,117.9,116.51,92.73,107.60,115.88,97.76,107.40,114.26,103.7,105.6,129.76,114.52,121.02,113.93,122.71,117.6,98.57,109.65,125.05,101.84,107.22
2020Apr,117.10,119.58,108.36,103.08,108.7,110.57,123.3,115.7,115.97,92.39,107.62,115.84,98.80,109.92,114.08,104.8,106.0,130.94,114.79,122.16,113.98,123.76,116.6,100.72,109.30,121.15,103.07,108.11
2020Mar,113.20,119.73,109.73,103.03,111.3,110.47,123.0,121.3,117.27,91.88,107.64,116.25,98.91,110.22,115.04,103.5,104.7,129.98,112.23,121.88,113.96,123.41,118.6,99.42,108.44,124.26,101.46,106.63
2020Feb,112.79,117.43,109.46,103.47,110.2,109.96,123.4,115.4,118.53,92.03,107.63,116.17,98.45,108.34,112.37,102.9,104.1,129.66,111.36,122.05,114.02,122.82,117.8,98.90,107.59,124.11,99.59,106.11
2020Jan,112.76,116.52,107.06,103.50,111.9,110.55,124.1,115.7,116.52,92.87,108.55,116.20,99.49,109.88,112.37,104.0,105.3,131.06,110.54,122.59,114.10,121.51,118.0,102.33,107.33,120.30,100.15,108.27
2019Dec,112.99,116.39,105.90,102.31,107.7,110.57,122.9,113.2,117.56,93.81,108.45,116.39,99.59,105.47,110.33,103.6,102.8,126.98,110.42,122.76,114.16,120.47,116.0,100.83,106.81,121.96,99.84,104.01
2019Nov,112.61,118.31,105.96,103.80,109.2,111.30,124.6,121.9,122.43,93.97,108.25,116.25,101.03,107.81,110.68,103.9,103.6,125.79,110.73,123.06,114.86,121.79,117.4,101.68,106.53,123.90,99.37,105.64
2019Oct,114.49,118.58,106.80,102.44,113.0,111.22,122.8,125.3,121.73,94.03,108.54,116.15,99.84,109.41,111.56,103.9,103.5,126.77,112.07,123.45,114.96,122.64,117.8,100.45,106.25,124.51,99.33,107.76
