Period,Austria,Belgium,Bulgaria,Cyprus,Czech Republic,EU (changing composition),Germany,Denmark,Estonia,Spain,Finland,France,Greece,Croatia,Hungary,Ireland,Italy,Lithuania,Luxembourg,Latvia,Malta,Netherlands,Poland,Portugal,Romania,Sweden,Slovenia,Slovakia
2022Oct,126.08,123.58,167.06,115.96,147.6,129.31,132.3,125.2,146.95,124.03,120.64,115.94,119.87,142.14,209.76,104.0,119.6,154.83,126.13,158.86,135.71,116.93,154.9,121.56,155.57,129.65,127.90,147.97
2022Sep,123.17,121.79,163.83,115.79,143.3,127.32,130.7,123.0,146.27,123.17,119.92,114.38,118.09,137.89,198.28,103.1,117.7,151.33,122.70,156.54,135.15,115.52,152.4,119.94,152.45,128.43,125.63,145.92
2022Aug,122.64,120.98,162.06,115.11,141.6,126.02,128.6,123.3,143.47,122.85,115.22,113.68,116.41,137.00,190.67,102.7,117.1,149.98,122.64,152.93,133.36,116.08,150.4,119.53,149.72,125.12,124.28,143.11
2022Jul,121.30,119.68,162.80,114.29,141.4,124.22,125.8,123.2,138.47,121.64,114.25,111.90,115.00,134.31,181.93,101.8,115.9,148.29,122.25,149.24,132.01,114.43,147.3,118.75,148.17,124.09,123.29,140.97
2022Jun,120.74,117.83,170.11,112.63,139.7,122.16,122.8,120.0,134.94,119.99,111.19,110.73,113.44,132.58,163.82,99.7,114.0,143.65,120.97,144.00,130.36,112.95,145.0,117.51,146.70,121.18,122.41,136.52
2022May,118.20,116.45,164.51,110.39,136.5,120.20,120.9,118.6,132.19,118.09,109.67,109.79,111.62,128.93,158.56,97.1,112.0,139.86,119.09,140.06,129.56,111.27,142.6,115.45,144.43,118.03,120.65,135.46
2022Apr,117.48,115.56,155.29,109.41,131.4,117.92,118.4,116.6,129.94,115.51,107.39,108.18,107.91,125.77,151.76,96.5,110.7,135.23,118.26,135.00,128.58,110.05,139.6,113.27,141.36,115.68,118.88,130.44
2022Mar,116.32,112.16,150.87,106.92,126.0,115.10,115.2,113.7,126.43,110.69,105.91,107.29,105.89,120.88,148.99,95.5,108.6,128.70,117.64,131.80,127.16,109.35,134.6,110.34,136.40,114.66,115.53,127.53
2022Feb,115.32,111.22,147.55,104.58,124.8,113.68,113.9,114.7,125.01,110.12,105.09,106.39,104.32,119.15,146.49,94.7,107.1,124.38,115.96,129.62,125.46,108.42,132.9,107.97,132.35,113.59,115.31,125.12
2022Jan,112.51,110.43,144.64,103.55,122.7,112.39,112.6,111.3,121.10,108.46,103.62,106.01,102.95,117.53,140.86,93.3,106.4,122.44,115.02,126.27,123.92,107.25,133.3,106.29,129.01,111.52,113.33,123.21
2021Dec,112.06,109.38,141.26,101.44,117.9,111.09,112.1,107.8,118.28,107.08,103.17,105.25,102.51,115.29,137.05,94.2,105.3,119.76,114.18,123.81,119.83,106.00,130.2,104.20,127.29,111.49,111.32,121.32
2021Nov,110.73,107.99,137.41,102.15,115.4,109.91,111.2,108.5,117.03,104.87,103.23,104.75,101.41,113.64,135.03,93.3,104.5,116.76,113.30,120.07,118.23,105.53,128.2,102.58,125.82,110.65,107.70,117.78
2021Oct,110.19,107.54,131.65,101.56,114.3,108.87,110.6,107.5,114.95,104.27,103.04,104.24,100.40,110.89,130.98,92.9,103.2,114.37,112.14,117.25,117.25,105.03,126.4,103.02,122.95,110.11,107.57,116.05
2021Sep,108.72,106.65,128.44,101.50,114.0,108.23,110.4,107.2,114.91,103.42,103.15,104.05,99.66,109.31,127.89,91.9,103.0,112.73,111.58,115.70,116.97,104.94,124.7,102.26,121.15,109.68,107.60,114.82
2021Aug,108.73,107.23,126.79,101.37,113.7,108.09,110.0,107.1,114.62,103.34,103.09,104.19,98.23,108.36,127.30,93.0,103.3,112.35,111.66,114.41,117.01,105.02,124.1,102.69,120.17,109.47,106.74,114.95
2021Jul,109.07,107.17,126.39,100.42,112.8,107.78,109.5,107.8,113.16,103.13,103.25,103.99,98.56,107.11,125.95,92.9,103.0,111.66,111.58,115.94,116.79,104.83,123.6,102.29,119.57,109.28,106.43,114.20
2021Jun,108.55,106.49,125.63,100.80,112.8,107.50,109.2,106.8,113.85,103.01,103.04,103.84,97.85,106.17,126.09,92.6,102.9,110.79,111.57,115.42,116.92,105.01,123.1,102.04,119.13,108.68,105.23,112.80
2021May,108.74,106.11,125.85,100.48,113.3,107.40,109.2,106.9,113.56,102.94,103.00,104.10,98.43,105.36,125.61,92.4,102.7,110.67,111.09,115.26,116.66,104.49,122.6,102.04,118.64,107.57,105.06,114.01
2021Apr,108.55,106.57,125.42,99.95,113.1,107.21,108.8,105.9,113.88,103.00,102.74,103.99,98.11,105.74,125.64,92.0,102.7,109.72,111.28,114.08,116.10,103.90,122.3,101.65,118.22,107.35,104.97,112.05
