Period,Austria,Belgium,Bulgaria,Cyprus,Czech Republic,EU (changing composition),Germany,Denmark,Estonia,Spain,Finland,France,Greece,Croatia,Hungary,Ireland,Italy,Lithuania,Luxembourg,Latvia,Malta,Netherlands,Poland,Portugal,Romania,Sweden,Slovenia,Slovakia
2022Oct,112.94,117.10,144.95,112.36,141.1,120.44,118.0,112.1,147.85,117.29,105.20,109.04,106.33,123.35,145.90,86.6,112.7,142.74,117.92,145.34,124.53,113.77,143.1,113.75,140.80,120.07,106.59,132.93
2022Sep,112.11,114.80,141.93,109.44,127.1,117.61,115.2,113.1,145.91,113.48,102.49,107.90,104.61,120.24,141.01,85.9,109.0,133.63,115.07,142.40,120.70,112.12,140.5,109.03,134.34,118.43,102.36,127.38
2022Aug,108.93,114.10,138.74,109.75,126.6,116.12,113.0,111.2,137.36,113.11,99.53,107.41,105.31,120.97,140.57,85.7,107.7,131.17,115.58,139.74,119.60,111.21,138.7,107.61,126.97,118.08,100.93,125.35
2022Jul,107.41,114.72,136.21,110.56,126.7,113.57,110.5,109.8,130.17,112.51,100.36,106.16,103.33,117.95,135.34,85.0,106.2,127.50,114.90,134.12,119.78,111.64,129.5,106.93,122.44,116.26,99.88,123.09
2022Jun,104.82,112.08,132.69,107.43,124.7,111.80,109.9,108.1,127.99,111.38,98.01,105.31,103.19,117.44,128.50,83.4,104.6,127.01,113.40,132.87,119.03,108.25,126.0,105.66,120.95,113.08,98.87,120.76
2022May,104.26,109.28,128.82,107.13,120.5,110.78,109.3,106.5,127.66,110.39,98.06,104.73,103.24,113.78,124.98,81.9,103.6,123.43,113.70,125.63,119.06,107.14,125.3,106.92,119.17,113.51,98.96,120.02
2022Apr,105.00,109.90,124.37,106.13,118.8,109.26,106.7,106.7,123.41,109.87,95.55,103.95,101.27,114.14,123.63,82.2,102.6,122.03,113.74,123.76,117.59,105.01,123.1,103.84,118.08,111.59,96.85,116.11
2022Mar,104.90,109.84,122.74,104.88,115.5,108.58,107.6,105.6,122.78,107.99,95.77,102.95,101.35,112.04,122.23,82.0,101.8,118.51,113.09,123.13,114.68,106.88,120.8,104.37,116.37,111.40,97.43,115.35
2022Feb,103.84,108.76,119.75,103.50,116.9,107.79,107.2,104.7,122.27,107.25,94.66,102.24,100.73,111.14,122.22,81.5,100.9,117.45,111.54,118.19,113.56,107.20,119.5,103.10,115.07,110.15,96.97,115.39
2022Jan,105.46,109.79,117.64,101.85,116.7,107.66,106.9,104.5,119.21,105.71,94.74,101.84,100.03,109.79,122.52,82.0,101.3,114.43,110.80,117.31,112.54,106.36,120.5,103.42,114.26,110.12,97.00,114.78
2021Dec,104.89,108.18,115.35,101.51,111.1,106.56,106.2,102.8,115.87,105.16,93.66,101.70,98.79,106.72,120.03,80.5,101.1,114.03,110.57,114.23,112.06,102.98,119.0,100.54,113.72,109.59,95.50,109.66
2021Nov,103.79,106.35,114.08,102.66,109.8,106.22,106.0,102.4,117.72,104.63,93.44,101.43,99.41,106.12,119.95,81.4,100.6,112.58,110.20,112.63,110.63,102.89,118.9,102.28,113.06,108.82,94.79,111.94
2021Oct,104.33,105.52,112.22,102.55,108.8,105.83,106.6,100.8,115.87,104.60,93.38,101.03,100.19,105.76,119.08,80.5,100.1,110.01,110.28,112.12,110.96,102.91,117.8,101.17,111.01,108.59,95.18,111.28
