Period,Austria,Belgium,Bulgaria,Cyprus,Czech Republic,EU (changing composition),Germany,Denmark,Estonia,Spain,Finland,France,Greece,Croatia,Hungary,Ireland,Italy,Lithuania,Luxembourg,Latvia,Malta,Netherlands,Poland,Portugal,Romania,Sweden,Slovenia,Slovakia
2022Oct,128.60,117.95,149.04,146.22,146.8,136.85,136.1,119.8,170.08,139.64,119.97,139.10,126.38,125.44,207.93,99.1,131.3,187.65,127.72,151.42,158.77,125.03,152.1,138.15,165.00,134.72,128.69,153.73
2022Sep,124.04,112.41,144.23,126.23,134.2,129.70,129.0,118.9,162.64,132.93,112.29,131.63,122.39,121.45,193.09,98.2,124.1,171.25,123.76,132.71,140.93,123.12,140.5,133.14,156.29,129.61,123.35,140.19
2022Aug,123.29,110.58,137.17,122.76,133.8,125.62,124.6,120.9,170.59,129.83,110.33,123.98,117.30,117.52,183.67,97.2,117.6,148.21,116.66,140.29,133.38,125.17,138.6,129.22,154.44,130.01,121.20,139.94
2022Jul,122.86,112.75,137.61,112.51,139.5,125.03,123.3,121.2,164.21,128.79,108.89,122.34,117.43,114.35,181.29,96.8,117.0,161.96,117.30,148.92,133.43,123.55,141.2,124.27,152.10,130.55,118.88,141.70
2022Jun,122.07,113.15,140.09,109.94,143.4,125.78,122.2,117.7,159.32,128.58,107.50,122.31,116.51,117.51,185.30,96.4,118.4,171.33,114.20,150.72,130.28,121.39,149.4,121.10,154.86,125.14,120.59,146.99
2022May,123.60,111.86,158.44,132.82,143.5,127.97,126.8,116.9,155.83,128.15,108.01,122.36,122.41,117.40,196.17,95.9,119.7,175.03,113.33,152.43,137.33,120.51,151.9,120.45,164.46,125.49,120.58,151.02
2022Apr,121.86,112.60,168.45,150.10,146.5,132.02,133.6,113.4,169.69,134.02,118.89,129.03,124.61,120.50,197.67,95.0,121.9,185.41,119.24,158.48,140.64,121.96,157.2,123.63,159.99,131.95,125.81,152.01
2022Mar,118.95,109.64,158.22,162.61,140.5,127.52,129.2,111.3,162.15,124.49,120.14,122.93,122.47,119.85,194.84,95.0,121.4,160.77,116.70,149.90,141.53,118.74,150.4,118.40,155.16,127.55,120.21,147.68
2022Feb,116.87,108.77,157.33,158.06,142.8,126.64,129.0,111.7,159.44,122.03,121.80,122.45,124.76,122.20,184.42,94.6,123.2,156.82,118.29,145.14,142.65,119.81,147.6,116.84,147.82,125.19,120.35,141.41
2022Jan,111.56,105.67,141.38,123.26,134.9,123.22,124.2,107.9,145.12,120.63,116.80,121.86,114.32,121.09,172.47,94.3,120.3,150.60,115.74,136.33,140.48,118.34,147.2,115.81,139.41,119.01,116.82,131.96
